Occupation,Count
1115 Chief executives and senior officials,"49,975"
1116 Elected officers and representatives,"8,739"
1121 Production managers and directors in manufacturing,"264,735"
1122 Production managers and directors in construction,"169,115"
1123 Production managers and directors in mining and energy,"15,178"
1131 Financial managers and directors,"147,424"
1132 Marketing and sales directors,"87,590"
1133 Purchasing managers and directors,"37,342"
1134 Advertising and public relations directors,"23,311"
1135 Human resource managers and directors,"80,808"
1136 Information technology and telecommunications directors,"55,179"
1139 Functional managers and directors n.e.c.,"70,804"
1150 Financial institution managers and directors,"129,708"
1161 Managers and directors in transport and distribution,"79,623"
1162 Managers and directors in storage and warehousing,"60,752"
1171 Officers in armed forces,"39,159"
1172 Senior police officers,"3,496"
"1173 Senior officers in fire, ambulance, prison and related services","11,772"
1181 Health services and public health managers and directors,"47,287"
1184 Social services managers and directors,"42,606"
1190 Managers and directors in retail and wholesale,"445,615"
1211 Managers and proprietors in agriculture and horticulture,"18,627"
"1213 Managers and proprietors in forestry, fishing and related services","13,653"
1221 Hotel and accommodation managers and proprietors,"58,413"
1223 Restaurant and catering establishment managers and proprietors,"112,051"
1224 Publicans and managers of licensed premises,"60,179"
1225 Leisure and sports managers,"59,501"
1226 Travel agency managers and proprietors,"12,388"
1241 Health care practice managers,"19,942"
"1242 Residential, day and domiciliary care managers and proprietors","51,063"
"1251 Property, housing and estate managers","132,492"
1252 Garage managers and proprietors,"29,150"
1253 Hairdressing and beauty salon managers and proprietors,"12,624"
1254 Shopkeepers and proprietors: wholesale and retail,"169,833"
1255 Waste disposal and environmental services managers,"12,454"
1259 Managers and proprietors in other services n.e.c.,"251,002"
2111 Chemical scientists,"10,497"
2112 Biological scientists and biochemists,"42,151"
2113 Physical scientists,"10,313"
2114 Social and humanities scientists,"7,169"
2119 Natural and social science professionals n.e.c.,"57,017"
2121 Civil engineers,"59,708"
2122 Mechanical engineers,"83,217"
2123 Electrical engineers,"25,632"
2124 Electronics engineers,"25,634"
2126 Design and development engineers,"49,468"
2127 Production and process engineers,"27,952"
2129 Engineering professionals n.e.c.,"83,055"
2133 IT specialist managers,"141,511"
2134 IT project and programme managers,"38,089"
"2135 IT business analysts, architects and systems designers","76,771"
2136 Programmers and software development professionals,"146,664"
2137 Web design and development professionals,"46,048"
2139 Information technology and telecommunications professionals n.e.c.,"127,548"
2141 Conservation professionals,"7,866"
2142 Environment professionals,"20,381"
2150 Research and development managers,"27,641"
2211 Medical practitioners,"195,329"
2212 Psychologists,"22,397"
2213 Pharmacists,"41,274"
2214 Ophthalmic opticians,"13,192"
2215 Dental practitioners,"32,826"
2216 Veterinarians,"13,314"
2217 Medical radiographers,"21,743"
2218 Podiatrists,"11,259"
2219 Health professionals n.e.c.,"21,883"
2221 Physiotherapists,"35,088"
2222 Occupational therapists,"23,950"
2223 Speech and language therapists,"10,674"
2229 Therapy professionals n.e.c.,"23,675"
2231 Nurses,"527,579"
2232 Midwives,"31,255"
2311 Higher education teaching professionals,"124,486"
2312 Further education teaching professionals,"82,930"
2314 Secondary education teaching professionals,"346,635"
2315 Primary and nursery education teaching professionals,"333,841"
2316 Special needs education teaching professionals,"26,871"
2317 Senior professionals of educational establishments,"114,608"
2318 Education advisers and school inspectors,"16,415"
2319 Teaching and other educational professionals n.e.c.,"115,390"
2412 Barristers and judges,"23,872"
2413 Solicitors,"109,938"
2419 Legal professionals n.e.c.,"37,299"
2421 Chartered and certified accountants,"215,678"
2423 Management consultants and business analysts,"121,474"
2424 Business and financial project management professionals,"135,375"
"2425 Actuaries, economists and statisticians","20,681"
2426 Business and related research professionals,"48,913"
"2429 Business, research and administrative professionals n.e.c.","34,248"
2431 Architects,"46,568"
2432 Town planning officers,"9,977"
2433 Quantity surveyors,"31,545"
2434 Chartered surveyors,"67,792"
2435 Chartered architectural technologists,"3,066"
2436 Construction project managers and related professionals,"50,031"
2442 Social workers,"74,332"
2443 Probation officers,"9,965"
2444 Clergy,"34,619"
2449 Welfare professionals n.e.c.,"26,720"
2451 Librarians,"18,699"
2452 Archivists and curators,"10,308"
2461 Quality control and planning engineers,"22,496"
2462 Quality assurance and regulatory professionals,"43,403"
2463 Environmental health professionals,"6,388"
"2471 Journalists, newspaper and periodical editors","63,940"
2472 Public relations professionals,"36,768"
2473 Advertising accounts managers and creative directors,"33,025"
3111 Laboratory technicians,"46,459"
3112 Electrical and electronics technicians,"13,928"
3113 Engineering technicians,"35,632"
3114 Building and civil engineering technicians,"8,716"
3115 Quality assurance technicians,"18,462"
"3116 Planning, process and production technicians","18,743"
"3119 Science, engineering and production technicians n.e.c.","80,580"
3121 Architectural and town planning technicians,"14,347"
3122 Draughtspersons,"29,391"
3131 IT operations technicians,"87,443"
3132 IT user support technicians,"73,258"
3213 Paramedics,"15,879"
3216 Dispensing opticians,"4,710"
3217 Pharmaceutical technicians,"19,064"
3218 Medical and dental technicians,"22,289"
3219 Health associate professionals n.e.c.,"37,629"
3231 Youth and community workers,"44,841"
3233 Child and early years officers,"9,169"
3234 Housing officers,"36,778"
3235 Counsellors,"22,549"
3239 Welfare and housing associate professionals n.e.c.,"100,564"
3311 NCOs and other ranks,"114,064"
3312 Police officers (sergeant and below),"161,702"
3313 Fire service officers (watch manager and below),"36,981"
3314 Prison service officers (below principal officer),"38,439"
3315 Police community support officers,"17,081"
3319 Protective service associate professionals n.e.c.,"26,516"
3411 Artists,"42,185"
"3412 Authors, writers and translators","57,489"
"3413 Actors, entertainers and presenters","41,246"
3414 Dancers and choreographers,"16,172"
3415 Musicians,"35,899"
"3416 Arts officers, producers and directors","61,536"
"3417 Photographers, audio-visual and broadcasting equipment operators","60,416"
3421 Graphic designers,"68,464"
"3422 Product, clothing and related designers","56,207"
3441 Sports players,"15,807"
"3442 Sports coaches, instructors and officials","58,484"
3443 Fitness instructors,"40,509"
3511 Air traffic controllers,"3,466"
3512 Aircraft pilots and flight engineers,"14,533"
3513 Ship and hovercraft officers,"9,458"
3520 Legal associate professionals,"55,281"
"3531 Estimators, valuers and assessors","51,925"
3532 Brokers,"54,694"
3533 Insurance underwriters,"24,810"
3534 Finance and investment analysts and advisers,"156,099"
3535 Taxation experts,"26,533"
3536 Importers and exporters,"7,357"
3537 Financial and accounting technicians,"14,932"
3538 Financial accounts managers,"97,287"
3539 Business and related associate professionals n.e.c.,"88,818"
3541 Buyers and procurement officers,"51,724"
3542 Business sales executives,"162,833"
3543 Marketing associate professionals,"99,662"
3544 Estate agents and auctioneers,"54,140"
3545 Sales accounts and business development managers,"294,922"
3546 Conference and exhibition managers and organisers,"44,740"
3550 Conservation and environmental associate professionals,"6,427"
3561 Public services associate professionals,"40,622"
3562 Human resources and industrial relations officers,"128,967"
3563 Vocational and industrial trainers and instructors,"127,361"
3564 Careers advisers and vocational guidance specialists,"21,250"
3565 Inspectors of standards and regulations,"18,847"
3567 Health and safety officers,"32,868"
4112 National government administrative occupations,"258,307"
4113 Local government administrative occupations,"132,687"
4114 Officers of non-governmental organisations,"23,402"
4121 Credit controllers,"37,650"
"4122 Book-keepers, payroll managers and wages clerks","290,922"
4123 Bank and post office clerks,"173,181"
4124 Finance officers,"25,614"
4129 Financial administrative occupations n.e.c.,"121,671"
4131 Records clerks and assistants,"111,381"
4132 Pensions and insurance clerks and assistants,"81,718"
4133 Stock control clerks and assistants,"64,744"
4134 Transport and distribution clerks and assistants,"56,158"
4135 Library clerks and assistants,"31,741"
4138 Human resources administrative occupations,"36,896"
4151 Sales administrators,"67,313"
4159 Other administrative occupations n.e.c.,"593,686"
4161 Office managers,"136,468"
4162 Office supervisors,"30,083"
4211 Medical secretaries,"63,995"
4212 Legal secretaries,"52,005"
4213 School secretaries,"54,468"
4214 Company secretaries,"44,527"
4215 Personal assistants and other secretaries,"275,035"
4216 Receptionists,"240,494"
4217 Typists and related keyboard occupations,"48,342"
5111 Farmers,"124,177"
5112 Horticultural trades,"17,005"
5113 Gardeners and landscape gardeners,"125,807"
5114 Groundsmen and greenkeepers,"26,516"
5119 Agricultural and fishing trades n.e.c.,"16,149"
5211 Smiths and forge workers,"5,228"
"5212 Moulders, core makers and die casters","2,282"
5213 Sheet metal workers,"15,490"
"5214 Metal plate workers, and riveters","6,123"
5215 Welding trades,"57,914"
5216 Pipe fitters,"11,151"
5221 Metal machining setters and setter-operators,"37,399"
"5222 Tool makers, tool fitters and markers-out","13,598"
5223 Metal working production and maintenance fitters,"201,670"
5224 Precision instrument makers and repairers,"16,732"
5225 Air-conditioning and refrigeration engineers,"12,394"
"5231 Vehicle technicians, mechanics and electricians","183,541"
5232 Vehicle body builders and repairers,"24,974"
5234 Vehicle paint technicians,"13,369"
5235 Aircraft maintenance and related trades,"25,841"
5236 Boat and ship builders and repairers,"11,049"
5237 Rail and rolling stock builders and repairers,"8,940"
5241 Electricians and electrical fitters,"206,360"
5242 Telecommunications engineers,"49,649"
"5244 TV, video and audio engineers","9,385"
5245 IT engineers,"30,694"
5249 Electrical and electronic trades n.e.c.,"68,229"
